Altium Designer Pick and Place Locations
C:\Users\mblank\Desktop\Stuff\AltiumTests\PaHoy\PaHoy\Production\Pick Place for PaHoy(JLC_PCB_Assembly).csv

========================================================================================================================
File Design Information:

Date:       14.02.23
Time:       12:36
Revision:   7a0c0825ab0073575c46b84b7e992ffeffcc1f25
Variant:    JLC_PCB_Assembly
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation"
"L3","BottomLayer","11.8110","42.5450","90"
"L2","BottomLayer","12.5730","41.1480","0"
"L1","BottomLayer","12.9540","42.5450","90"
"C12","BottomLayer","10.1600","42.9260","180"
"C11","BottomLayer","12.4460","45.5930","180"
"C1","BottomLayer","12.9540","44.1960","90"
"C10","BottomLayer","10.1600","41.7830","180"
"Y1","BottomLayer","8.8900","38.8620","0"
"R1","BottomLayer","14.7320","41.4020","270"
"C9","BottomLayer","15.8750","41.6380","90"
"C8","BottomLayer","14.2240","31.1150","270"
"C7","BottomLayer","15.8750","31.1150","270"
"C6","BottomLayer","16.0020","36.5760","270"
"C5","BottomLayer","15.7480","38.4810","90"
"C4","BottomLayer","14.6050","34.4170","270"
"C3","BottomLayer","8.8900","40.6400","180"
"C2","BottomLayer","8.6360","37.0840","180"
"U1","BottomLayer","12.8270","37.9730","90"
"J1","BottomLayer","12.8270","47.7515","0"
